Type,Name
Graduate/Professional,Society for Music Research at the University of Michigan
Graduate/Professional,Society for Space Law and the Law of the Sea
Academic/Honor Societies,Society of American Archivists Student Chapter
Graduate/Professional,Society of American Archivists Student Chapter
Service/Service Learning,Society of American Archivists Student Chapter
Academic/Honor Societies,Society of Asian Scientists and Engineers
Cultural/Ethnic,Society of Asian Scientists and Engineers
Science/Technology/Engineering,Society of Asian Scientists and Engineers
Service/Service Learning,Society of Asian Scientists and Engineers
Academic/Honor Societies,Society of Deontology
Graduate/Professional,Society of Deontology
Environmental,Society of Economic Geologists Student Chapter
Activism,Society of Hispanic Professional Engineers
Academic/Honor Societies,Society of Hispanic Professional Engineers
Cultural/Ethnic,Society of Hispanic Professional Engineers
Science/Technology/Engineering,Society of Hispanic Professional Engineers
Graduate/Professional,Society of Hispanic Professional Engineers
Service/Service Learning,Society of Hispanic Professional Engineers
Academic/Honor Societies,Society of Hispanic Professional Engineers - Graduate Committee
Cultural/Ethnic,Society of Hispanic Professional Engineers - Graduate Committee
Science/Technology/Engineering,Society of Hispanic Professional Engineers - Graduate Committee
Graduate/Professional,Society of Hispanic Professional Engineers - Graduate Committee
Service/Service Learning,Society of Hispanic Professional Engineers - Graduate Committee
Health & Wellness,Society of Les Voyageurs
Social Fraternity/Sorority,Society of Les Voyageurs
Sport Clubs & Recreation,Society of Les Voyageurs
Environmental,Society of Les Voyageurs
Academic/Honor Societies,Society of Physics Students
Graduate/Professional,Society of Physics Students
Academic/Honor Societies,"Society of Professional Journalists, Ann Arbor"
Media & Creative Writing,"Society of Professional Journalists, Ann Arbor"
Environmental,Society of Wetland Scientists (North Central Chapter) Student Chapter at the University of Michigan
Science/Technology/Engineering,Society of Women Engineers
Graduate/Professional,Society of Women Engineers
Service/Service Learning,Society of Women Engineers
Academic/Honor Societies,Society of Women in Economics
Graduate/Professional,Society of Women in Economics
Gender/Sexuality,Society of Women in Economics
Academic/Honor Societies,Sociology Graduate Students Organization
Graduate/Professional,Sociology Graduate Students Organization
Health & Wellness,Solar Chapter at UM
Service/Service Learning,Solar Chapter at UM
Environmental,Solar Chapter at UM
Cultural/Ethnic,Sonrise Mentorship at the University of Michigan
Media & Creative Writing,Sonrise Mentorship at the University of Michigan
Service/Service Learning,Sonrise Mentorship at the University of Michigan
Activism,South Asian Awareness Network
Cultural/Ethnic,South Asian Awareness Network
Cultural/Ethnic,South Asian Law Students Association
Graduate/Professional,South Asian Law Students Association
Cultural/Ethnic,South Asian Medical Student Association
Graduate/Professional,South Asian Medical Student Association
Health & Wellness,South Asian Medical Student Association
Service/Service Learning,South Asian Medical Student Association
Governance,South Quad Hall Council
Cultural/Ethnic,Southeast Asia Business Association
Graduate/Professional,Southeast Asia Business Association
Academic/Honor Societies,Spanish Club at the University of Michigan
Cultural/Ethnic,Spanish Club at the University of Michigan
Science/Technology/Engineering,SPARK Electric Racing 
Environmental,SPARK Electric Racing 
Service/Service Learning,Special Olympics Coaching Club
Activism,Special Olympics College at the University of Michigan
Health & Wellness,Special Olympics College at the University of Michigan
Service/Service Learning,Special Olympics College at the University of Michigan
Sport Clubs & Recreation,Special Olympics College at the University of Michigan
Department,Spectrum Center
Activism,Spectrum Center Programming Board
Health & Wellness,Spectrum Center Programming Board
Gender/Sexuality,Spectrum Center Programming Board
Academic/Honor Societies,SPhD
Graduate/Professional,SPhD
Health & Wellness,SPhD
Creative & Performing Arts,SPIC MACAY at the University of Michigan
Cultural/Ethnic,SPIC MACAY at the University of Michigan
Health & Wellness,Spoon University
Media & Creative Writing,Spoon University
Academic/Honor Societies,Sport Business Association
Graduate/Professional,Sport Business Association
Media & Creative Writing,Sport Business Association
Sport Clubs & Recreation,Sport Business Association
Business & Entrepreneurship,Sport Business Association
Graduate/Professional,Sports Business Association at the Ross School of Business
Sport Clubs & Recreation,Sports Business Association at the Ross School of Business
Graduate/Professional,Sports Medicine Club
Health & Wellness,Sports Medicine Club
Activism,Stamps in Color
Creative & Performing Arts,Stamps in Color
Cultural/Ethnic,Stamps in Color
Academic/Honor Societies,Stamps Scholars Society
Science/Technology/Engineering,Star Wars Fan Club
Sport Clubs & Recreation,Star Wars Fan Club
Science/Technology/Engineering,StartUM Entrepreneurship
Graduate/Professional,StartUM Entrepreneurship
Business & Entrepreneurship,StartUM Entrepreneurship
Activism,Statistics in the Community
Graduate/Professional,Statistics in the Community
Service/Service Learning,Statistics in the Community
Service/Service Learning,STEM Society
Cultural/Ethnic,Stockwell Hall Second Year Experience
Governance,Stockwell Hall Second Year Experience
Health & Wellness,Stockwell Hall Second Year Experience
Service/Service Learning,Stockwell Hall Second Year Experience
Activism,Stop the Bleed Chapter at the University of Michigan
Governance,Stop the Bleed Chapter at the University of Michigan
Graduate/Professional,Stop the Bleed Chapter at the University of Michigan
Health & Wellness,Stop the Bleed Chapter at the University of Michigan
Service/Service Learning,Stop the Bleed Chapter at the University of Michigan
Academic/Honor Societies,STRAPP.AI- UM
Science/Technology/Engineering,STRAPP.AI- UM
Graduate/Professional,STRAPP.AI- UM
Media & Creative Writing,STRAPP.AI- UM
Graduate/Professional,Strategic Operations Club
Academic/Honor Societies,Student Actuaries at Michigan
Graduate/Professional,Student Actuaries at Michigan
Activism,Student Advocates for Nutrition
Graduate/Professional,Student Advocates for Nutrition
Health & Wellness,Student Advocates for Nutrition
Service/Service Learning,Student Advocates for Nutrition
Academic/Honor Societies,Student American Dental Hygienist Association
Science/Technology/Engineering,Student American Dental Hygienist Association
Graduate/Professional,Student American Dental Hygienist Association
Health & Wellness,Student American Dental Hygienist Association
Service/Service Learning,Student American Dental Hygienist Association
Academic/Honor Societies,Student Archaeology Club 
Cultural/Ethnic,Student Archaeology Club 
Graduate/Professional,Student Archaeology Club 
Activism,Student Association for Psychedelic Studies 
Graduate/Professional,Student Association for Psychedelic Studies 
Health & Wellness,Student Association for Psychedelic Studies 
Academic/Honor Societies,Student Astronomical Society
Creative & Performing Arts,Student Chapter of American Society of Landscape Architects
Graduate/Professional,Student Chapter of American Society of Landscape Architects
Environmental,Student Chapter of American Society of Landscape Architects
Graduate/Professional,Student Chapter of the Academy of LDS Dentists at University of Michigan School of Dentistry
Graduate/Professional,Student Chapter of the Michigan Lean Consortium
Activism,Student Community of Progressive Empowerment
Cultural/Ethnic,Student Community of Progressive Empowerment
Service/Service Learning,Student Community of Progressive Empowerment
Activism,Student Diversity Council 
Cultural/Ethnic,Student Diversity Council 
Governance,Student Diversity Council 
Graduate/Professional,Student Diversity Council 
Health & Wellness,Student Diversity Council 
Service/Service Learning,Student Diversity Council 
Graduate/Professional,Student Endodontics Association 
Service/Service Learning,Student Funded Fellowships
Activism,Student Hunger Initiative
Health & Wellness,Student Hunger Initiative
Service/Service Learning,Student Hunger Initiative
Environmental,Student Hunger Initiative
Graduate/Professional,Student Implantology Association
Academic/Honor Societies,Student Interest Group in Neurology
Graduate/Professional,Student Interest Group in Neurology
Academic/Honor Societies,Student Leadership Board in IOE
Governance,Student Leadership Board in IOE
Graduate/Professional,Student Leadership Board in IOE
Department,Student Life Sustainability
Academic/Honor Societies,Student Members of the American Chemical Society 
Science/Technology/Engineering,Student Members of the American Chemical Society 
Graduate/Professional,Student Members of the American Chemical Society 
Service/Service Learning,Student Members of the American Chemical Society 
Activism,Student Michigan Pharmacists Association
Science/Technology/Engineering,Student Michigan Pharmacists Association
Graduate/Professional,Student Michigan Pharmacists Association
Health & Wellness,Student Michigan Pharmacists Association
Activism,Student National Pharmaceutical Association
Graduate/Professional,Student National Pharmaceutical Association
Health & Wellness,Student National Pharmaceutical Association
Service/Service Learning,Student National Pharmaceutical Association
Graduate/Professional,Student Nurses' Association
Service/Service Learning,Student Nurses' Association
Department,Student Organization Accounts Services
Graduate/Professional,Student Organization for Computer-Human Interaction
Academic/Honor Societies,Student Organization for Data Analytics
Science/Technology/Engineering,Student Organization for Data Analytics
Graduate/Professional,Student Organization for Data Analytics
Activism,Student Rights Project
Graduate/Professional,Student Rights Project
Service/Service Learning,Student Rights Project
Graduate/Professional,Student Social Workers in Higher Education
Science/Technology/Engineering,Student Space Systems Fabrication Lab
Activism,Student Sustainability Coalition
Cultural/Ethnic,Student Sustainability Coalition
Science/Technology/Engineering,Student Sustainability Coalition
Health & Wellness,Student Sustainability Coalition
Environmental,Student Sustainability Coalition
Service/Service Learning,Student United Way at the University of Michigan
Activism,Student Veterans of America: University of Michigan - Ann Arbor
Cultural/Ethnic,Student Veterans of America: University of Michigan - Ann Arbor
Service/Service Learning,Student Veterans of America: University of Michigan - Ann Arbor
Activism,Students Allied for Freedom and Equality
Cultural/Ethnic,Students Allied for Freedom and Equality
Religious/Spiritual,Students as Living Testimonies
Activism,Students Demand Action at the University of Michigan
Activism,Students Empowering Education
Academic/Honor Societies,Students Empowering Education
Service/Service Learning,Students Empowering Education
Graduate/Professional,Students Engaged in Global Health
Health & Wellness,Students Engaged in Global Health
Activism,Students for a National Health Program at the University of Michigan
Activism,Students for Biden at Michigan
Activism,Students for Clean Energy 
Science/Technology/Engineering,Students for Clean Energy 
Graduate/Professional,Students for Clean Energy 
Environmental,Students for Clean Energy 
Activism,Students for Democracy
Governance,Students for Democracy
Activism,Students for Diabetes Awareness
Governance,Students for Diabetes Awareness
Health & Wellness,Students for Diabetes Awareness
Service/Service Learning,Students for Diabetes Awareness
Activism,"Students for Holocaust Awareness, Remembrance and Education"
Cultural/Ethnic,"Students for Holocaust Awareness, Remembrance and Education"
Religious/Spiritual,"Students for Holocaust Awareness, Remembrance and Education"
Service/Service Learning,"Students for Holocaust Awareness, Remembrance and Education"
Activism,Students for Life
Service/Service Learning,Students for Life
Graduate/Professional,Students for Reforming Legal Education
Activism,Students for Reproductive Rights and Justice 
Health & Wellness,Students for Reproductive Rights and Justice 
Gender/Sexuality,Students for Reproductive Rights and Justice 
Health & Wellness,Students for Sunrise
Service/Service Learning,Students for Sunrise
Activism,Students for the Exploration and Development of Space
Science/Technology/Engineering,Students for the Exploration and Development of Space
Service/Service Learning,Students for the Exploration and Development of Space
Activism,Students for Whitmer at the University of Michigan
Activism,Students Helping Honduras
Cultural/Ethnic,Students Helping Honduras
Service/Service Learning,Students Helping Honduras
Cultural/Ethnic,Students of Color in Public Policy
Graduate/Professional,Students of Color in Public Policy
Activism,Students of Color of Rackham
Cultural/Ethnic,Students of Color of Rackham
Governance,Students of Color of Rackham
Graduate/Professional,Students of Color of Rackham
Health & Wellness,Students of Color of Rackham
Service/Service Learning,Students of Color of Rackham
Activism,Students Organize for Syria
Cultural/Ethnic,Students Organize for Syria
Service/Service Learning,Students Organize for Syria
Service/Service Learning,Sunny
Activism,Sunrise Ann Arbor
Health & Wellness,Sunrise Ann Arbor
Service/Service Learning,Sunrise Ann Arbor
Environmental,Sunrise Ann Arbor
Health & Wellness,Sunshine Supply & Care at the University of Michigan
Service/Service Learning,Sunshine Supply & Care at the University of Michigan
Environmental,Sunshine Supply & Care at the University of Michigan
Cultural/Ethnic,Support for Incoming Black Students 
Activism,SURJ UMich
Academic/Honor Societies,Swahili Club
Cultural/Ethnic,Swahili Club
Graduate/Professional,SWE/TBP Career Fair
Service/Service Learning,SWE/TBP Career Fair
Health & Wellness,Sweet Retreat Baking Club
Department,Sweetland Center for Writing
Creative & Performing Arts,Swing Ann Arbor
Cultural/Ethnic,Swing Ann Arbor
Health & Wellness,Swing Ann Arbor
Sport Clubs & Recreation,Swing Ann Arbor
Sport Clubs & Recreation,Synchronized Skating
Science/Technology/Engineering,SYNTH DIY
Cultural/Ethnic,Syrian Student Association
Creative & Performing Arts,Tabletop Gaming Club
Sport Clubs & Recreation,Tabletop Gaming Club
Health & Wellness,Tae Kwon Do 
Sport Clubs & Recreation,Tae Kwon Do 
Cultural/Ethnic,Taiwan Business Association
Graduate/Professional,Taiwan Business Association
Cultural/Ethnic,Taiwan Student Association
Service/Service Learning,Taiwan Student Association
Cultural/Ethnic,Taiwanese American Student Association
Graduate/Professional,TAMID Group
Business & Entrepreneurship,TAMID Group
Cultural/Ethnic,Tamil Film Club
Academic/Honor Societies,Tau Beta Pi - Michigan Gamma
Academic/Honor Societies,Tauber Institute Student Advisory Board
Governance,Tauber Institute Student Advisory Board
Graduate/Professional,Tauber Institute Student Advisory Board
Service/Service Learning,Tauber Institute Student Advisory Board
Service/Service Learning,TEACH – Michigan
Science/Technology/Engineering,Team Aquador
Service/Service Learning,Team Aquador
Environmental,Team Aquador
Science/Technology/Engineering,Tech Club at the Ross School of Business
Graduate/Professional,Tech Club at the Ross School of Business
Activism,Tech for Social Good at the University of Michigan
Science/Technology/Engineering,Tech for Social Good at the University of Michigan
Service/Service Learning,Tech for Social Good at the University of Michigan
Environmental,Tech for Social Good at the University of Michigan
Activism,TEDxUofM
Creative & Performing Arts,TEDxUofM
Cultural/Ethnic,TEDxUofM
Science/Technology/Engineering,TEDxUofM
Media & Creative Writing,TEDxUofM
Cultural/Ethnic,Thai Student Association
Academic/Honor Societies,The Accounting Club
Graduate/Professional,The Accounting Club
Business & Entrepreneurship,The Accounting Club
Activism,The Alba Project 
Health & Wellness,The Alba Project 
Service/Service Learning,The Alba Project 
Environmental,The American Cetacean Society Student Coalition at the University of Michigan
Activism,The American Constitution Society at the University of Michigan
Graduate/Professional,The American Constitution Society at the University of Michigan
Service/Service Learning,The American Constitution Society at the University of Michigan
Activism,The American Foundation for Suicide Prevention at the University of Michigan
Health & Wellness,The American Foundation for Suicide Prevention at the University of Michigan
Activism,THE AMERICAN RED CROSS CLUB 
Health & Wellness,THE AMERICAN RED CROSS CLUB 
Service/Service Learning,THE AMERICAN RED CROSS CLUB 
Activism,The Architecture Lobby
Academic/Honor Societies,The Architecture Lobby
Creative & Performing Arts,The Architecture Lobby
Graduate/Professional,The Architecture Lobby
Creative & Performing Arts,The Auscultations
Service/Service Learning,The Auscultations
Academic/Honor Societies,"The Beta-Theta Chapter of Omega Chi Epsilon, Chemical Engineering Honor Society"
Service/Service Learning,"The Beta-Theta Chapter of Omega Chi Epsilon, Chemical Engineering Honor Society"
Academic/Honor Societies,The Brehm Scholars' Society
Service/Service Learning,The Brehm Scholars' Society
Activism,The Climate Action Movement at the University of Michigan
Science/Technology/Engineering,The Climate Action Movement at the University of Michigan
Environmental,The Climate Action Movement at the University of Michigan
Activism,The Coalition for Queer and Trans People of Color
Cultural/Ethnic,The Coalition for Queer and Trans People of Color
Gender/Sexuality,The Coalition for Queer and Trans People of Color
Academic/Honor Societies,The Collaborative Archaeology Workgroup
Cultural/Ethnic,The Collaborative Archaeology Workgroup
Graduate/Professional,The Collaborative Archaeology Workgroup
Creative & Performing Arts,The Compulsive Lyres
Health & Wellness,The Council of Global Student Organizations
Service/Service Learning,The Council of Global Student Organizations
Creative & Performing Arts,The Dance Student Assembly
Governance,The Dance Student Assembly
Health & Wellness,The Dance Student Assembly
Activism,The Detroit Partnership
Cultural/Ethnic,The Detroit Partnership
Service/Service Learning,The Detroit Partnership
Environmental,The Detroit Partnership
Activism,The Dot Org
Health & Wellness,The Dot Org
Service/Service Learning,The Dot Org
Gender/Sexuality,The Dot Org
Service/Service Learning,The Education Project at the University of Michigan
Activism,The Federalist Society at the University of Michigan Law School
Graduate/Professional,The Federalist Society at the University of Michigan Law School
Creative & Performing Arts,The Friars
Activism,The Friends for St. Jude Committee
Health & Wellness,The Friends for St. Jude Committee
Service/Service Learning,The Friends for St. Jude Committee
Academic/Honor Societies,The Genomic Medicine Interest Group
Science/Technology/Engineering,The Genomic Medicine Interest Group
Graduate/Professional,The Genomic Medicine Interest Group
Health & Wellness,The Genomic Medicine Interest Group
Creative & Performing Arts,The Gentlemen
Department,The Ginsberg Center for Community Service Learning
Cultural/Ethnic,The Gourmet Club
Graduate/Professional,The Gourmet Club
Sport Clubs & Recreation,The Gourmet Club
Creative & Performing Arts,The Harmonettes
Activism,The Health Equity Scholars Program
Graduate/Professional,The Health Equity Scholars Program
Health & Wellness,The Health Equity Scholars Program
Service/Service Learning,The Health Equity Scholars Program
Creative & Performing Arts,The Law School Classical Music Society
Graduate/Professional,The Law School Classical Music Society
Health & Wellness,The Law School Classical Music Society
Academic/Honor Societies,The Life Cycle Initiative at the University of Michigan
Science/Technology/Engineering,The Life Cycle Initiative at the University of Michigan
Graduate/Professional,The Life Cycle Initiative at the University of Michigan
Environmental,The Life Cycle Initiative at the University of Michigan
Creative & Performing Arts,The Michigan Animation Club
Science/Technology/Engineering,The Michigan Animation Club
Media & Creative Writing,The Michigan Animation Club
Media & Creative Writing,The Michigan Archive
Creative & Performing Arts,The Michigan Blacksmithing Club
Science/Technology/Engineering,The Michigan Blacksmithing Club
Academic/Honor Societies,The Michigan Cryptocurrency Club
Science/Technology/Engineering,The Michigan Cryptocurrency Club
Sport Clubs & Recreation,The Michigan Euchre Club
Activism,The Michigan Gayly: LGBTQ+ Issues
Media & Creative Writing,The Michigan Gayly: LGBTQ+ Issues
Gender/Sexuality,The Michigan Gayly: LGBTQ+ Issues
Science/Technology/Engineering,The Michigan Journal of Science and Technology
Media & Creative Writing,The Michigan Journal of Science and Technology
Creative & Performing Arts,The Michigan Kazoo Line
Graduate/Professional,The Michigan Law Review
Health & Wellness,The Michigan Quidditch Team
Sport Clubs & Recreation,The Michigan Quidditch Team
Activism,The Michigan Review
Media & Creative Writing,The Michigan Review
Academic/Honor Societies,The Mortar Board Senior Honor Society
Academic/Honor Societies,The Neuroscience Student Association
Science/Technology/Engineering,The Neuroscience Student Association
Graduate/Professional,The Neuroscience Student Association
Service/Service Learning,The Neuroscience Student Association
Cultural/Ethnic,The Pakistani Student Association
Activism,The Pearl Project
Service/Service Learning,The Pearl Project
Academic/Honor Societies,The PhD Forum at the Stephen M. Ross School of Business
Governance,The PhD Forum at the Stephen M. Ross School of Business
Graduate/Professional,The PhD Forum at the Stephen M. Ross School of Business
Creative & Performing Arts,The Plush Project
Service/Service Learning,The Plush Project
Activism,The Prison Creative Arts Project
Creative & Performing Arts,The Prison Creative Arts Project
Media & Creative Writing,The Prison Creative Arts Project
Service/Service Learning,The Prison Creative Arts Project
Academic/Honor Societies,The Quarterdeck Society
Science/Technology/Engineering,The Quarterdeck Society
Graduate/Professional,The Quarterdeck Society
Service/Service Learning,The Quarterdeck Society
Social Fraternity/Sorority,The Quarterdeck Society
Business & Entrepreneurship,The Quarterdeck Society
Activism,The Quito Project
Academic/Honor Societies,The Quito Project
Cultural/Ethnic,The Quito Project
Health & Wellness,The Quito Project
Service/Service Learning,The Quito Project
Academic/Honor Societies,The Rho Chi Society Alpha Chapter
Graduate/Professional,The Rho Chi Society Alpha Chapter
Activism,The Roosevelt Institute
Governance,The Roosevelt Institute
Graduate/Professional,The Science Art Initiative
Media & Creative Writing,The Science Art Initiative
Service/Service Learning,The Science Art Initiative
Creative & Performing Arts,The Sirens A Cappella 
Creative & Performing Arts,The Smile Bringer Singers
Service/Service Learning,The Smile Bringer Singers
Academic/Honor Societies,The Socratic Club
Creative & Performing Arts,The Socratic Club
Religious/Spiritual,The Socratic Club
Creative & Performing Arts,The Sopranos
Health & Wellness,The Squirrel Club
Environmental,The Squirrel Club
Activism,The Ukrainian Club at UM
Cultural/Ethnic,The Ukrainian Club at UM
Service/Service Learning,The Ukrainian Club at UM
Academic/Honor Societies,The Undergraduate Journal of Public Health
Science/Technology/Engineering,The Undergraduate Journal of Public Health
Media & Creative Writing,The Undergraduate Journal of Public Health
Environmental,The Undergraduate Journal of Public Health
Cultural/Ethnic,The University of Michigan Czech Student Association
Health & Wellness,The University of Michigan Fencing Club
Sport Clubs & Recreation,The University of Michigan Fencing Club
Cultural/Ethnic,The University of Michigan Polish Student Association
Governance,The Urban Planning Student Association
Graduate/Professional,The Urban Planning Student Association
Service/Service Learning,The Urban Planning Student Association
Environmental,The Urban Planning Student Association
Activism,The Wesley Foundation at the University of Michgan
Graduate/Professional,The Wesley Foundation at the University of Michgan
Religious/Spiritual,The Wesley Foundation at the University of Michgan
Service/Service Learning,The Wesley Foundation at the University of Michgan
Academic/Honor Societies,The Women's Network at Michigan 
Graduate/Professional,The Women's Network at Michigan 
Gender/Sexuality,The Women's Network at Michigan 
Activism,The Youth Movement Against Alzheimer's
Health & Wellness,The Youth Movement Against Alzheimer's
Service/Service Learning,The Youth Movement Against Alzheimer's
Creative & Performing Arts,Theme Park Engineering Group at the University of Michigan
Science/Technology/Engineering,Theme Park Engineering Group at the University of Michigan
Graduate/Professional,Theme Park Engineering Group at the University of Michigan
Activism,Theta Alpha Psi
Science/Technology/Engineering,Theta Alpha Psi
Service/Service Learning,Theta Alpha Psi
Environmental,Theta Alpha Psi
Academic/Honor Societies,Theta Capital
Science/Technology/Engineering,Theta Capital
Social Fraternity/Sorority,Theta Delta Chi Fraternity
Academic/Honor Societies,Theta Sigma Transfer Student Professional Fraternity
Health & Wellness,Theta Sigma Transfer Student Professional Fraternity
Social Fraternity/Sorority,Theta Sigma Transfer Student Professional Fraternity
Academic/Honor Societies,Theta Tau Professional Engineering Fraternity
Science/Technology/Engineering,Theta Tau Professional Engineering Fraternity
Graduate/Professional,Theta Tau Professional Engineering Fraternity
Service/Service Learning,Theta Tau Professional Engineering Fraternity
Social Fraternity/Sorority,"Theta Xi Fraternity, Sigma Chapter"
Activism,ThirdSpace Hospital Creative Arts Program
Creative & Performing Arts,ThirdSpace Hospital Creative Arts Program
Health & Wellness,ThirdSpace Hospital Creative Arts Program
Media & Creative Writing,ThirdSpace Hospital Creative Arts Program
Service/Service Learning,ThirdSpace Hospital Creative Arts Program
Activism,Thirst Project 
Health & Wellness,Thirst Project 
Service/Service Learning,Thirst Project 
Creative & Performing Arts,Thus Spoke Ann Arbor
Cultural/Ethnic,Thus Spoke Ann Arbor
Activism,Timmy Global Health
Health & Wellness,Timmy Global Health
Service/Service Learning,Timmy Global Health
Activism,TOM:UM
Academic/Honor Societies,TOM:UM
Health & Wellness,TOM:UM
Service/Service Learning,TOM:UM
Creative & Performing Arts,Trans and GNC Arts Review
Cultural/Ethnic,Trans and GNC Arts Review
Media & Creative Writing,Trans and GNC Arts Review
Gender/Sexuality,Trans and GNC Arts Review
Academic/Honor Societies,Transfer Student Alliance
Cultural/Ethnic,Treasuring Christ Collegiate Ministry at the University of Michigan
Religious/Spiritual,Treasuring Christ Collegiate Ministry at the University of Michigan
Service/Service Learning,Treasuring Christ Collegiate Ministry at the University of Michigan
Academic/Honor Societies,Trial Advocacy Society
Creative & Performing Arts,Trial Advocacy Society
Graduate/Professional,Trial Advocacy Society
Activism,Trotter Multicultural Center
Cultural/Ethnic,Trotter Multicultural Center
Department,Trotter Multicultural Center
Cultural/Ethnic,Turkish Student Association at the University of Michigan
Activism,Turning Point USA at the University of Michigan
Governance,Turning Point USA at the University of Michigan
Media & Creative Writing,Turning Point USA at the University of Michigan
Service/Service Learning,Turning Point USA at the University of Michigan
Gender/Sexuality,Turning Point USA at the University of Michigan
Cultural/Ethnic,Tzu Ching
Service/Service Learning,Tzu Ching
Environmental,Tzu Ching
Religious/Spiritual,UKirk @ UMich
Service/Service Learning,UKirk @ UMich
Science/Technology/Engineering,UM::Autonomy
Activism,UMBees
Science/Technology/Engineering,UMBees
Health & Wellness,UMBees
Environmental,UMBees
Department,UMHealthResearch.org - Michigan Institute for Clinical & Health Research
Activism,Uncover
Cultural/Ethnic,Uncover
Media & Creative Writing,Uncover
Health & Wellness,Undergraduate American Medical Women's Association
Service/Service Learning,Undergraduate American Medical Women's Association
Gender/Sexuality,Undergraduate American Medical Women's Association
Academic/Honor Societies,Undergraduate Hall of Phi Delta Phi at the University of Michigan  
Graduate/Professional,Undergraduate Hall of Phi Delta Phi at the University of Michigan  
Activism,Undergraduate Journal of Sustainability at U-M
Academic/Honor Societies,Undergraduate Journal of Sustainability at U-M
Media & Creative Writing,Undergraduate Journal of Sustainability at U-M
Environmental,Undergraduate Journal of Sustainability at U-M
Cultural/Ethnic,Undergraduate Multicultural Club
Activism,Undergraduate Political Science Association
Academic/Honor Societies,Undergraduate Political Science Association
Governance,Undergraduate Political Science Association
Academic/Honor Societies,Undergraduate Psychology Society
Graduate/Professional,Undergraduate Psychology Society
Cultural/Ethnic,Undergraduate Student National Dental Association Chapter at the University of Michigan
Graduate/Professional,Undergraduate Student National Dental Association Chapter at the University of Michigan
Activism,UNICEF at the University of Michigan
Cultural/Ethnic,UNICEF at the University of Michigan
Health & Wellness,UNICEF at the University of Michigan
Service/Service Learning,UNICEF at the University of Michigan
Environmental,UNICEF at the University of Michigan
Activism,United 2 Heal
Science/Technology/Engineering,United 2 Heal
Health & Wellness,United 2 Heal
Service/Service Learning,United 2 Heal
Activism,United Against Inequities in Disease
Health & Wellness,United Against Inequities in Disease
Service/Service Learning,United Against Inequities in Disease
Cultural/Ethnic,United Asian American Medical Student Association / Asian Pacific American Medical Student Association
Graduate/Professional,United Asian American Medical Student Association / Asian Pacific American Medical Student Association
Service/Service Learning,United Asian American Medical Student Association / Asian Pacific American Medical Student Association
Activism,United Asian American Organizations
Cultural/Ethnic,United Asian American Organizations
Service/Service Learning,United Asian American Organizations
Academic/Honor Societies,University Activities Center
Creative & Performing Arts,University Activities Center
Science/Technology/Engineering,University Activities Center
Media & Creative Writing,University Activities Center
Service/Service Learning,University Activities Center
Science/Technology/Engineering,University Blood Initiative at The University of Michigan
Health & Wellness,University Blood Initiative at The University of Michigan
Service/Service Learning,University Blood Initiative at The University of Michigan
Department,University Career Center
Religious/Spiritual,University Lutheran Chapel Student Group
Creative & Performing Arts,University Musical Society Student Committee
Cultural/Ethnic,University Musical Society Student Committee
Media & Creative Writing,University Musical Society Student Committee
Science/Technology/Engineering,University of Michigan 3D Printing Club
Environmental,University of Michigan 3D Printing Club
Activism,University of Michigan Active Citizens - Alternative Spring Break
Cultural/Ethnic,University of Michigan Active Citizens - Alternative Spring Break
Health & Wellness,University of Michigan Active Citizens - Alternative Spring Break
Service/Service Learning,University of Michigan Active Citizens - Alternative Spring Break
Environmental,University of Michigan Active Citizens - Alternative Spring Break
Gender/Sexuality,University of Michigan Active Citizens - Alternative Spring Break
Science/Technology/Engineering,University of Michigan Amateur Radio Club
Graduate/Professional,University of Michigan Amateur Radio Club
Service/Service Learning,University of Michigan Amateur Radio Club
Academic/Honor Societies,University of Michigan Anthropology Club
Cultural/Ethnic,University of Michigan Anthropology Club
Science/Technology/Engineering,University of Michigan Anthropology Club
Activism,University of Michigan Asylum Collaborative
Cultural/Ethnic,University of Michigan Asylum Collaborative
Graduate/Professional,University of Michigan Asylum Collaborative
Service/Service Learning,University of Michigan Asylum Collaborative
Governance,University of Michigan Central Student Government
Department,University of Michigan Cheer Team
Health & Wellness,University of Michigan Club Gymnastics
Sport Clubs & Recreation,University of Michigan Club Gymnastics
Health & Wellness,University of Michigan Club Triathlon Team
Sport Clubs & Recreation,University of Michigan Club Triathlon Team
Academic/Honor Societies,University Of Michigan Dentistry Student Council
Governance,University Of Michigan Dentistry Student Council
Graduate/Professional,University Of Michigan Dentistry Student Council
Health & Wellness,University Of Michigan Dentistry Student Council
Science/Technology/Engineering,University of Michigan Esports
Media & Creative Writing,University of Michigan Esports
Sport Clubs & Recreation,University of Michigan Esports
Creative & Performing Arts,University of Michigan Figure Skating Club
Health & Wellness,University of Michigan Figure Skating Club
Sport Clubs & Recreation,University of Michigan Figure Skating Club
Creative & Performing Arts,University of Michigan Gilbert and Sullivan Society
Academic/Honor Societies,University of Michigan History Club
Graduate/Professional,University of Michigan Industrial Hygiene Student Association
Service/Service Learning,University of Michigan Industrial Hygiene Student Association
Environmental,University of Michigan Industrial Hygiene Student Association
Academic/Honor Societies,University of Michigan Journal of Law Reform
Graduate/Professional,University of Michigan Journal of Law Reform
Media & Creative Writing,University of Michigan Journal of Law Reform
Creative & Performing Arts,University of Michigan Men's Glee Club
