2018 SOC Code,2018 SOC Major Group,2018 SOC Minor Group,2018 SOC Title,2018 SOC Direct Match Title,Illustrative Example
53-3099,Transportation and Material Moving Occupations,Motor Vehicle Operators,"Motor Vehicle Operators, All Other",Ice-Resurfacing Machine Operators,x
53-3099,Transportation and Material Moving Occupations,Motor Vehicle Operators,"Motor Vehicle Operators, All Other",Motorcycle Deliverer,x
53-3099,Transportation and Material Moving Occupations,Motor Vehicle Operators,"Motor Vehicle Operators, All Other",Street Cleaning Equipment Operator,x
53-3099,Transportation and Material Moving Occupations,Motor Vehicle Operators,"Motor Vehicle Operators, All Other",Street Sweeper Operator,
53-4011,Transportation and Material Moving Occupations,Rail Transportation Workers,Locomotive Engineers,Freight Engineer,
53-4011,Transportation and Material Moving Occupations,Rail Transportation Workers,Locomotive Engineers,Railroad Engineer,x
53-4011,Transportation and Material Moving Occupations,Rail Transportation Workers,Locomotive Engineers,Railway Engineer,
53-4011,Transportation and Material Moving Occupations,Rail Transportation Workers,Locomotive Engineers,Train Engineer,x
53-4013,Transportation and Material Moving Occupations,Rail Transportation Workers,"Rail Yard Engineers, Dinkey Operators, and Hostlers",Coal Tram Driver,x
53-4013,Transportation and Material Moving Occupations,Rail Transportation Workers,"Rail Yard Engineers, Dinkey Operators, and Hostlers",Dinkey Driver,
53-4013,Transportation and Material Moving Occupations,Rail Transportation Workers,"Rail Yard Engineers, Dinkey Operators, and Hostlers",Dinkey Operator,
53-4013,Transportation and Material Moving Occupations,Rail Transportation Workers,"Rail Yard Engineers, Dinkey Operators, and Hostlers",Engine Hostler,
53-4013,Transportation and Material Moving Occupations,Rail Transportation Workers,"Rail Yard Engineers, Dinkey Operators, and Hostlers",Haulage Engine Operator,
53-4013,Transportation and Material Moving Occupations,Rail Transportation Workers,"Rail Yard Engineers, Dinkey Operators, and Hostlers",Railcar Switcher,x
53-4013,Transportation and Material Moving Occupations,Rail Transportation Workers,"Rail Yard Engineers, Dinkey Operators, and Hostlers",Yard Hostler,
53-4022,Transportation and Material Moving Occupations,Rail Transportation Workers,"Railroad Brake, Signal, and Switch Operators and Locomotive Firers",Diesel Locomotive Firer,x
53-4022,Transportation and Material Moving Occupations,Rail Transportation Workers,"Railroad Brake, Signal, and Switch Operators and Locomotive Firers",Dinkey Engine Firer,x
53-4022,Transportation and Material Moving Occupations,Rail Transportation Workers,"Railroad Brake, Signal, and Switch Operators and Locomotive Firers",Freight Brake Operator,
53-4022,Transportation and Material Moving Occupations,Rail Transportation Workers,"Railroad Brake, Signal, and Switch Operators and Locomotive Firers",Locomotive Switch Operator,
53-4022,Transportation and Material Moving Occupations,Rail Transportation Workers,"Railroad Brake, Signal, and Switch Operators and Locomotive Firers",Railroad Brake Operator,
53-4022,Transportation and Material Moving Occupations,Rail Transportation Workers,"Railroad Brake, Signal, and Switch Operators and Locomotive Firers",Railroad Firer,
53-4022,Transportation and Material Moving Occupations,Rail Transportation Workers,"Railroad Brake, Signal, and Switch Operators and Locomotive Firers",Railway Switch Operator,x
53-4022,Transportation and Material Moving Occupations,Rail Transportation Workers,"Railroad Brake, Signal, and Switch Operators and Locomotive Firers",Switch Coupler,x
53-4022,Transportation and Material Moving Occupations,Rail Transportation Workers,"Railroad Brake, Signal, and Switch Operators and Locomotive Firers",Train Brake Operator,x
53-4031,Transportation and Material Moving Occupations,Rail Transportation Workers,Railroad Conductors and Yardmasters,Freight Conductor,x
53-4031,Transportation and Material Moving Occupations,Rail Transportation Workers,Railroad Conductors and Yardmasters,Passenger Car Conductor,
53-4031,Transportation and Material Moving Occupations,Rail Transportation Workers,Railroad Conductors and Yardmasters,Train Conductor,
53-4031,Transportation and Material Moving Occupations,Rail Transportation Workers,Railroad Conductors and Yardmasters,Yard Conductor,x
53-4041,Transportation and Material Moving Occupations,Rail Transportation Workers,Subway and Streetcar Operators,Light Rail Operator,
53-4041,Transportation and Material Moving Occupations,Rail Transportation Workers,Subway and Streetcar Operators,Light Rail Transit Operator,x
53-4041,Transportation and Material Moving Occupations,Rail Transportation Workers,Subway and Streetcar Operators,Light Rail Vehicle Operator,
53-4041,Transportation and Material Moving Occupations,Rail Transportation Workers,Subway and Streetcar Operators,Rapid Transit Operator,
53-4041,Transportation and Material Moving Occupations,Rail Transportation Workers,Subway and Streetcar Operators,Subway Conductor,
53-4041,Transportation and Material Moving Occupations,Rail Transportation Workers,Subway and Streetcar Operators,Subway Train Operator,
53-4041,Transportation and Material Moving Occupations,Rail Transportation Workers,Subway and Streetcar Operators,Tram Operator,x
53-4041,Transportation and Material Moving Occupations,Rail Transportation Workers,Subway and Streetcar Operators,Trolley Car Operator,x
53-4099,Transportation and Material Moving Occupations,Rail Transportation Workers,"Rail Transportation Workers, All Other",Railway Equipment Operator,x
53-4099,Transportation and Material Moving Occupations,Rail Transportation Workers,"Rail Transportation Workers, All Other",Retarder Operator,x
53-4099,Transportation and Material Moving Occupations,Rail Transportation Workers,"Rail Transportation Workers, All Other",Transfer Table Operator,x
53-5011,Transportation and Material Moving Occupations,Water Transportation Workers,Sailors and Marine Oilers,Able Seaman,
53-5011,Transportation and Material Moving Occupations,Water Transportation Workers,Sailors and Marine Oilers,Deck Cadet,
53-5011,Transportation and Material Moving Occupations,Water Transportation Workers,Sailors and Marine Oilers,Deck Hand,
53-5011,Transportation and Material Moving Occupations,Water Transportation Workers,Sailors and Marine Oilers,Deckhand,x
53-5011,Transportation and Material Moving Occupations,Water Transportation Workers,Sailors and Marine Oilers,Merchant Mariner,x
53-5011,Transportation and Material Moving Occupations,Water Transportation Workers,Sailors and Marine Oilers,Merchant Seaman,
53-5011,Transportation and Material Moving Occupations,Water Transportation Workers,Sailors and Marine Oilers,Ordinary Seaman,
53-5011,Transportation and Material Moving Occupations,Water Transportation Workers,Sailors and Marine Oilers,Sailor,
53-5011,Transportation and Material Moving Occupations,Water Transportation Workers,Sailors and Marine Oilers,Vessel Ordinary Seaman,
53-5021,Transportation and Material Moving Occupations,Water Transportation Workers,"Captains, Mates, and Pilots of Water Vessels",Barge Captain,x
53-5021,Transportation and Material Moving Occupations,Water Transportation Workers,"Captains, Mates, and Pilots of Water Vessels",Barge Master,
53-5021,Transportation and Material Moving Occupations,Water Transportation Workers,"Captains, Mates, and Pilots of Water Vessels",Boat Pilot,
53-5021,Transportation and Material Moving Occupations,Water Transportation Workers,"Captains, Mates, and Pilots of Water Vessels",Car Ferry Captain,
53-5021,Transportation and Material Moving Occupations,Water Transportation Workers,"Captains, Mates, and Pilots of Water Vessels",Car Ferry Master,
53-5021,Transportation and Material Moving Occupations,Water Transportation Workers,"Captains, Mates, and Pilots of Water Vessels",Coastal Tug Mate,
53-5021,Transportation and Material Moving Occupations,Water Transportation Workers,"Captains, Mates, and Pilots of Water Vessels",Deck Officer,
53-5021,Transportation and Material Moving Occupations,Water Transportation Workers,"Captains, Mates, and Pilots of Water Vessels",Docking Pilot,
53-5021,Transportation and Material Moving Occupations,Water Transportation Workers,"Captains, Mates, and Pilots of Water Vessels",Ferry Boat Captain,
53-5021,Transportation and Material Moving Occupations,Water Transportation Workers,"Captains, Mates, and Pilots of Water Vessels",Ferry Captain,
53-5021,Transportation and Material Moving Occupations,Water Transportation Workers,"Captains, Mates, and Pilots of Water Vessels",Ferryboat Captain,
53-5021,Transportation and Material Moving Occupations,Water Transportation Workers,"Captains, Mates, and Pilots of Water Vessels",First Mate,x
53-5021,Transportation and Material Moving Occupations,Water Transportation Workers,"Captains, Mates, and Pilots of Water Vessels",Harbor Boat Pilot,
53-5021,Transportation and Material Moving Occupations,Water Transportation Workers,"Captains, Mates, and Pilots of Water Vessels",Harbor Pilot,x
53-5021,Transportation and Material Moving Occupations,Water Transportation Workers,"Captains, Mates, and Pilots of Water Vessels",Harbor Tug Captain,
53-5021,Transportation and Material Moving Occupations,Water Transportation Workers,"Captains, Mates, and Pilots of Water Vessels",Port Captain,x
53-5021,Transportation and Material Moving Occupations,Water Transportation Workers,"Captains, Mates, and Pilots of Water Vessels",River Boat Captain,
53-5021,Transportation and Material Moving Occupations,Water Transportation Workers,"Captains, Mates, and Pilots of Water Vessels",River Pilot,
53-5021,Transportation and Material Moving Occupations,Water Transportation Workers,"Captains, Mates, and Pilots of Water Vessels",Sailboat Captain,
53-5021,Transportation and Material Moving Occupations,Water Transportation Workers,"Captains, Mates, and Pilots of Water Vessels",Ship Harbor Pilot,
53-5021,Transportation and Material Moving Occupations,Water Transportation Workers,"Captains, Mates, and Pilots of Water Vessels",Tow Boat Captain,
53-5021,Transportation and Material Moving Occupations,Water Transportation Workers,"Captains, Mates, and Pilots of Water Vessels",Towboat Pilot,
53-5021,Transportation and Material Moving Occupations,Water Transportation Workers,"Captains, Mates, and Pilots of Water Vessels",Tug Boat Captain,
53-5021,Transportation and Material Moving Occupations,Water Transportation Workers,"Captains, Mates, and Pilots of Water Vessels",Tugboat Captain,
53-5021,Transportation and Material Moving Occupations,Water Transportation Workers,"Captains, Mates, and Pilots of Water Vessels",Tugboat Mate,
53-5021,Transportation and Material Moving Occupations,Water Transportation Workers,"Captains, Mates, and Pilots of Water Vessels",Tugboat Operator,
53-5021,Transportation and Material Moving Occupations,Water Transportation Workers,"Captains, Mates, and Pilots of Water Vessels",Tugboat Pilot,
53-5022,Transportation and Material Moving Occupations,Water Transportation Workers,Motorboat Operators,Launch Operator,x
53-5022,Transportation and Material Moving Occupations,Water Transportation Workers,Motorboat Operators,Outboard Motorboat Operator,
53-5022,Transportation and Material Moving Occupations,Water Transportation Workers,Motorboat Operators,Speedboat Driver,
53-5022,Transportation and Material Moving Occupations,Water Transportation Workers,Motorboat Operators,Speedboat Operator,x
53-5022,Transportation and Material Moving Occupations,Water Transportation Workers,Motorboat Operators,Water Taxi Ferry Operator,
53-5022,Transportation and Material Moving Occupations,Water Transportation Workers,Motorboat Operators,Water Taxi Operator,x
53-5031,Transportation and Material Moving Occupations,Water Transportation Workers,Ship Engineers,Barge Engineer,x
53-5031,Transportation and Material Moving Occupations,Water Transportation Workers,Ship Engineers,Ferry Engineer,x
53-5031,Transportation and Material Moving Occupations,Water Transportation Workers,Ship Engineers,Towboat Engineer,
53-5031,Transportation and Material Moving Occupations,Water Transportation Workers,Ship Engineers,Tug Boat Engineer,
53-5031,Transportation and Material Moving Occupations,Water Transportation Workers,Ship Engineers,Tugboat Engineer,x
53-6011,Transportation and Material Moving Occupations,Other Transportation Workers,Bridge and Lock Tenders,Bridge Operator,
53-6011,Transportation and Material Moving Occupations,Other Transportation Workers,Bridge and Lock Tenders,Bridge Tender,
53-6011,Transportation and Material Moving Occupations,Other Transportation Workers,Bridge and Lock Tenders,Dam Tender,
53-6011,Transportation and Material Moving Occupations,Other Transportation Workers,Bridge and Lock Tenders,Lighthouse Keeper,x
53-6011,Transportation and Material Moving Occupations,Other Transportation Workers,Bridge and Lock Tenders,Lock and Dam Operator,x
53-6021,Transportation and Material Moving Occupations,Other Transportation Workers,Parking Attendants,Auto Parker,
53-6021,Transportation and Material Moving Occupations,Other Transportation Workers,Parking Attendants,Car Jockey,
53-6021,Transportation and Material Moving Occupations,Other Transportation Workers,Parking Attendants,Parking Ramp Attendant,x
53-6021,Transportation and Material Moving Occupations,Other Transportation Workers,Parking Attendants,Valet Parker,x
53-6021,Transportation and Material Moving Occupations,Other Transportation Workers,Parking Attendants,Valet Runner,
53-6031,Transportation and Material Moving Occupations,Other Transportation Workers,Automotive and Watercraft Service Attendants,Auto Service Station Attendant,
53-6031,Transportation and Material Moving Occupations,Other Transportation Workers,Automotive and Watercraft Service Attendants,Gas and Oil Servicer,x
53-6031,Transportation and Material Moving Occupations,Other Transportation Workers,Automotive and Watercraft Service Attendants,Gas Pump Attendant,x
53-6031,Transportation and Material Moving Occupations,Other Transportation Workers,Automotive and Watercraft Service Attendants,Gas Station Attendant,
53-6031,Transportation and Material Moving Occupations,Other Transportation Workers,Automotive and Watercraft Service Attendants,Oil Changer,
53-6031,Transportation and Material Moving Occupations,Other Transportation Workers,Automotive and Watercraft Service Attendants,Pump Jockey,
53-6031,Transportation and Material Moving Occupations,Other Transportation Workers,Automotive and Watercraft Service Attendants,Service Station Attendant,x
53-6032,Transportation and Material Moving Occupations,Other Transportation Workers,Aircraft Service Attendants,Aircraft De-Icer,x
53-6032,Transportation and Material Moving Occupations,Other Transportation Workers,Aircraft Service Attendants,Aircraft Refueler,x
53-6032,Transportation and Material Moving Occupations,Other Transportation Workers,Aircraft Service Attendants,Airplane Refueler,x
53-6041,Transportation and Material Moving Occupations,Other Transportation Workers,Traffic Technicians,Highway Traffic Control Technician,x
53-6041,Transportation and Material Moving Occupations,Other Transportation Workers,Traffic Technicians,Traffic Engineering Technician,
53-6041,Transportation and Material Moving Occupations,Other Transportation Workers,Traffic Technicians,Traffic Signal Technician,x
53-6041,Transportation and Material Moving Occupations,Other Transportation Workers,Traffic Technicians,Transportation Planning Technician,
53-6041,Transportation and Material Moving Occupations,Other Transportation Workers,Traffic Technicians,Transportation Technician,x
53-6051,Transportation and Material Moving Occupations,Other Transportation Workers,Transportation Inspectors,Aircraft Inspector,x
53-6051,Transportation and Material Moving Occupations,Other Transportation Workers,Transportation Inspectors,Aircraft Landing Gear Inspector,
53-6051,Transportation and Material Moving Occupations,Other Transportation Workers,Transportation Inspectors,Aircraft Quality Control Inspector,
53-6051,Transportation and Material Moving Occupations,Other Transportation Workers,Transportation Inspectors,Airworthiness Safety Inspector,
53-6051,Transportation and Material Moving Occupations,Other Transportation Workers,Transportation Inspectors,Freight Inspector,
53-6051,Transportation and Material Moving Occupations,Other Transportation Workers,Transportation Inspectors,Locomotive Inspector,
53-6051,Transportation and Material Moving Occupations,Other Transportation Workers,Transportation Inspectors,Motor Vehicle Emissions Inspector,x
53-6051,Transportation and Material Moving Occupations,Other Transportation Workers,Transportation Inspectors,Railroad Car Inspector,x
53-6051,Transportation and Material Moving Occupations,Other Transportation Workers,Transportation Inspectors,Railroad Inspector,
53-6051,Transportation and Material Moving Occupations,Other Transportation Workers,Transportation Inspectors,School Bus Inspector,
53-6051,Transportation and Material Moving Occupations,Other Transportation Workers,Transportation Inspectors,Transit Vehicle Inspector,
53-6061,Transportation and Material Moving Occupations,Other Transportation Workers,Passenger Attendants,Dining Car Steward,
53-6061,Transportation and Material Moving Occupations,Other Transportation Workers,Passenger Attendants,Ship Steward,x
53-6061,Transportation and Material Moving Occupations,Other Transportation Workers,Passenger Attendants,Sleeping Car Service Attendant,
53-6061,Transportation and Material Moving Occupations,Other Transportation Workers,Passenger Attendants,Train Attendant,x
53-6099,Transportation and Material Moving Occupations,Other Transportation Workers,"Transportation Workers, All Other",Pedicab Driver,
53-6099,Transportation and Material Moving Occupations,Other Transportation Workers,"Transportation Workers, All Other",Rickshaw Driver,x
53-7011,Transportation and Material Moving Occupations,Material Moving Workers,Conveyor Operators and Tenders,Ash Conveyor Operator,
53-7011,Transportation and Material Moving Occupations,Material Moving Workers,Conveyor Operators and Tenders,Assembly Line Tender,
53-7011,Transportation and Material Moving Occupations,Material Moving Workers,Conveyor Operators and Tenders,Chip Bin Conveyor Tender,
53-7011,Transportation and Material Moving Occupations,Material Moving Workers,Conveyor Operators and Tenders,Conveyor Belt Operator,x
53-7011,Transportation and Material Moving Occupations,Material Moving Workers,Conveyor Operators and Tenders,Conveyor Tender,
53-7011,Transportation and Material Moving Occupations,Material Moving Workers,Conveyor Operators and Tenders,Grain Elevator Operator,x
53-7011,Transportation and Material Moving Occupations,Material Moving Workers,Conveyor Operators and Tenders,Packing Line Operator,
53-7021,Transportation and Material Moving Occupations,Material Moving Workers,Crane and Tower Operators,Boom Crane Operator,x
53-7021,Transportation and Material Moving Occupations,Material Moving Workers,Crane and Tower Operators,Bridge Crane Operator,
53-7021,Transportation and Material Moving Occupations,Material Moving Workers,Crane and Tower Operators,Cherry Picker Operator,x
53-7021,Transportation and Material Moving Occupations,Material Moving Workers,Crane and Tower Operators,Coal Tower Operator,x
53-7021,Transportation and Material Moving Occupations,Material Moving Workers,Crane and Tower Operators,Electric Crane Operator,
53-7021,Transportation and Material Moving Occupations,Material Moving Workers,Crane and Tower Operators,Erecting Crane Operator,
53-7021,Transportation and Material Moving Occupations,Material Moving Workers,Crane and Tower Operators,Monorail Crane Operator,
53-7021,Transportation and Material Moving Occupations,Material Moving Workers,Crane and Tower Operators,Overhead Crane Operator,
53-7021,Transportation and Material Moving Occupations,Material Moving Workers,Crane and Tower Operators,Port Crane Operator,
53-7021,Transportation and Material Moving Occupations,Material Moving Workers,Crane and Tower Operators,Radio Control Crane Operator,
53-7021,Transportation and Material Moving Occupations,Material Moving Workers,Crane and Tower Operators,Scrap Crane Operator,
53-7021,Transportation and Material Moving Occupations,Material Moving Workers,Crane and Tower Operators,Tower Loader Operator,
53-7021,Transportation and Material Moving Occupations,Material Moving Workers,Crane and Tower Operators,Woodyard Crane Operator,
53-7031,Transportation and Material Moving Occupations,Material Moving Workers,Dredge Operators,Dredge Deckhand,
53-7031,Transportation and Material Moving Occupations,Material Moving Workers,Dredge Operators,Dredge Engineer,
53-7031,Transportation and Material Moving Occupations,Material Moving Workers,Dredge Operators,Dredge Mate,
53-7031,Transportation and Material Moving Occupations,Material Moving Workers,Dredge Operators,Dredger,x
53-7041,Transportation and Material Moving Occupations,Material Moving Workers,Hoist and Winch Operators,Hoist Operator,
53-7041,Transportation and Material Moving Occupations,Material Moving Workers,Hoist and Winch Operators,Winch Derrick Operator,x
53-7041,Transportation and Material Moving Occupations,Material Moving Workers,Hoist and Winch Operators,Winch Operator,
53-7051,Transportation and Material Moving Occupations,Material Moving Workers,Industrial Truck and Tractor Operators,Forklift Driver,
53-7051,Transportation and Material Moving Occupations,Material Moving Workers,Industrial Truck and Tractor Operators,Forklift Operator,x
53-7051,Transportation and Material Moving Occupations,Material Moving Workers,Industrial Truck and Tractor Operators,Front-End Loader Operator,
53-7051,Transportation and Material Moving Occupations,Material Moving Workers,Industrial Truck and Tractor Operators,Hydraulic Lift Driver,
53-7051,Transportation and Material Moving Occupations,Material Moving Workers,Industrial Truck and Tractor Operators,Industrial Truck Operator,
53-7051,Transportation and Material Moving Occupations,Material Moving Workers,Industrial Truck and Tractor Operators,Reach-Lift Truck Driver,
53-7051,Transportation and Material Moving Occupations,Material Moving Workers,Industrial Truck and Tractor Operators,Stacker Operator,x
53-7061,Transportation and Material Moving Occupations,Material Moving Workers,Cleaners of Vehicles and Equipment,Aircraft Cleaner,x
53-7061,Transportation and Material Moving Occupations,Material Moving Workers,Cleaners of Vehicles and Equipment,Auto Cleaner,
53-7061,Transportation and Material Moving Occupations,Material Moving Workers,Cleaners of Vehicles and Equipment,Auto Detailer,x
53-7061,Transportation and Material Moving Occupations,Material Moving Workers,Cleaners of Vehicles and Equipment,Automobile Detailer,
53-7061,Transportation and Material Moving Occupations,Material Moving Workers,Cleaners of Vehicles and Equipment,Beer Coil Cleaner,
53-7061,Transportation and Material Moving Occupations,Material Moving Workers,Cleaners of Vehicles and Equipment,Boat Detailer,
53-7061,Transportation and Material Moving Occupations,Material Moving Workers,Cleaners of Vehicles and Equipment,Bus Cleaner,
53-7061,Transportation and Material Moving Occupations,Material Moving Workers,Cleaners of Vehicles and Equipment,Bus Washer,
53-7061,Transportation and Material Moving Occupations,Material Moving Workers,Cleaners of Vehicles and Equipment,Car Wash Attendant,x
53-7061,Transportation and Material Moving Occupations,Material Moving Workers,Cleaners of Vehicles and Equipment,Car Washer,
53-7061,Transportation and Material Moving Occupations,Material Moving Workers,Cleaners of Vehicles and Equipment,Equipment Cleaner,
53-7061,Transportation and Material Moving Occupations,Material Moving Workers,Cleaners of Vehicles and Equipment,Machine Cleaner,
53-7061,Transportation and Material Moving Occupations,Material Moving Workers,Cleaners of Vehicles and Equipment,Railroad Car Cleaner,
53-7061,Transportation and Material Moving Occupations,Material Moving Workers,Cleaners of Vehicles and Equipment,Truck Washer,
53-7062,Transportation and Material Moving Occupations,Material Moving Workers,"Laborers and Freight, Stock, and Material Movers, Hand",Cargo Handler,x
53-7062,Transportation and Material Moving Occupations,Material Moving Workers,"Laborers and Freight, Stock, and Material Movers, Hand",Cart Pusher,
53-7062,Transportation and Material Moving Occupations,Material Moving Workers,"Laborers and Freight, Stock, and Material Movers, Hand",Freight Handler,
53-7062,Transportation and Material Moving Occupations,Material Moving Workers,"Laborers and Freight, Stock, and Material Movers, Hand",Grave Digger,
53-7062,Transportation and Material Moving Occupations,Material Moving Workers,"Laborers and Freight, Stock, and Material Movers, Hand",Manufacturing Laborer,
53-7062,Transportation and Material Moving Occupations,Material Moving Workers,"Laborers and Freight, Stock, and Material Movers, Hand",Material Handler,
53-7062,Transportation and Material Moving Occupations,Material Moving Workers,"Laborers and Freight, Stock, and Material Movers, Hand",Package Handler,
53-7062,Transportation and Material Moving Occupations,Material Moving Workers,"Laborers and Freight, Stock, and Material Movers, Hand",Shipping and Receiving Material Handler,
53-7062,Transportation and Material Moving Occupations,Material Moving Workers,"Laborers and Freight, Stock, and Material Movers, Hand",Van Loader,
53-7062,Transportation and Material Moving Occupations,Material Moving Workers,"Laborers and Freight, Stock, and Material Movers, Hand",Wharf Laborer,x
53-7063,Transportation and Material Moving Occupations,Material Moving Workers,Machine Feeders and Offbearers,Brick Offbearer,
53-7063,Transportation and Material Moving Occupations,Material Moving Workers,Machine Feeders and Offbearers,Chain Offbearer,
53-7063,Transportation and Material Moving Occupations,Material Moving Workers,Machine Feeders and Offbearers,Chopper Feeder,
53-7063,Transportation and Material Moving Occupations,Material Moving Workers,Machine Feeders and Offbearers,Doffer,
53-7063,Transportation and Material Moving Occupations,Material Moving Workers,Machine Feeders and Offbearers,Dryer Feeder,
53-7063,Transportation and Material Moving Occupations,Material Moving Workers,Machine Feeders and Offbearers,Hopper Feeder,
53-7063,Transportation and Material Moving Occupations,Material Moving Workers,Machine Feeders and Offbearers,Hopper Filler,x
53-7063,Transportation and Material Moving Occupations,Material Moving Workers,Machine Feeders and Offbearers,Line Feeder,
53-7063,Transportation and Material Moving Occupations,Material Moving Workers,Machine Feeders and Offbearers,Offbearer,
53-7063,Transportation and Material Moving Occupations,Material Moving Workers,Machine Feeders and Offbearers,Packing Machine Can Feeder,
53-7063,Transportation and Material Moving Occupations,Material Moving Workers,Machine Feeders and Offbearers,Spike Machine Feeder,
53-7063,Transportation and Material Moving Occupations,Material Moving Workers,Machine Feeders and Offbearers,Spinning Doffer,x
53-7063,Transportation and Material Moving Occupations,Material Moving Workers,Machine Feeders and Offbearers,Spooler Operator,
53-7064,Transportation and Material Moving Occupations,Material Moving Workers,"Packers and Packagers, Hand",Bagger,
53-7064,Transportation and Material Moving Occupations,Material Moving Workers,"Packers and Packagers, Hand",Carton Wrapper,
53-7064,Transportation and Material Moving Occupations,Material Moving Workers,"Packers and Packagers, Hand",Egg Packer,x
53-7064,Transportation and Material Moving Occupations,Material Moving Workers,"Packers and Packagers, Hand",Gift Wrapper,x
53-7064,Transportation and Material Moving Occupations,Material Moving Workers,"Packers and Packagers, Hand",Grocery Store Bagger,x
53-7064,Transportation and Material Moving Occupations,Material Moving Workers,"Packers and Packagers, Hand",Meat Packager,
53-7064,Transportation and Material Moving Occupations,Material Moving Workers,"Packers and Packagers, Hand",Meat Wrapper,
53-7064,Transportation and Material Moving Occupations,Material Moving Workers,"Packers and Packagers, Hand",Utility Bagger,
53-7065,Transportation and Material Moving Occupations,Material Moving Workers,Stockers and Order Fillers,Grocery Stocker,
53-7065,Transportation and Material Moving Occupations,Material Moving Workers,Stockers and Order Fillers,Night Stocker,x
53-7065,Transportation and Material Moving Occupations,Material Moving Workers,Stockers and Order Fillers,Retail Stocker,
53-7065,Transportation and Material Moving Occupations,Material Moving Workers,Stockers and Order Fillers,Store Stocker,x
53-7065,Transportation and Material Moving Occupations,Material Moving Workers,Stockers and Order Fillers,Warehouse Stocker,x
53-7071,Transportation and Material Moving Occupations,Material Moving Workers,Gas Compressor and Gas Pumping Station Operators,Acetylene Gas Compressor,
53-7071,Transportation and Material Moving Occupations,Material Moving Workers,Gas Compressor and Gas Pumping Station Operators,Butane Compressor Operator,x
53-7071,Transportation and Material Moving Occupations,Material Moving Workers,Gas Compressor and Gas Pumping Station Operators,Compressor Station Operator,
53-7071,Transportation and Material Moving Occupations,Material Moving Workers,Gas Compressor and Gas Pumping Station Operators,Gas Compressor Operator,
53-7071,Transportation and Material Moving Occupations,Material Moving Workers,Gas Compressor and Gas Pumping Station Operators,Gas Cylinder Processor,x
53-7071,Transportation and Material Moving Occupations,Material Moving Workers,Gas Compressor and Gas Pumping Station Operators,Gas Storage Operator,
53-7071,Transportation and Material Moving Occupations,Material Moving Workers,Gas Compressor and Gas Pumping Station Operators,High Pressure Compressed Gas Filler,
53-7071,Transportation and Material Moving Occupations,Material Moving Workers,Gas Compressor and Gas Pumping Station Operators,Liquid Natural Gas Plant Operator,x
53-7071,Transportation and Material Moving Occupations,Material Moving Workers,Gas Compressor and Gas Pumping Station Operators,LNG Plant Operator,
53-7072,Transportation and Material Moving Occupations,Material Moving Workers,"Pump Operators, Except Wellhead Pumpers",Acid Pump Operator,
53-7072,Transportation and Material Moving Occupations,Material Moving Workers,"Pump Operators, Except Wellhead Pumpers",Brewery Pumper,x
53-7072,Transportation and Material Moving Occupations,Material Moving Workers,"Pump Operators, Except Wellhead Pumpers",Concrete Pump Operator,
53-7072,Transportation and Material Moving Occupations,Material Moving Workers,"Pump Operators, Except Wellhead Pumpers",Fluid Pump Operator,x
53-7073,Transportation and Material Moving Occupations,Material Moving Workers,Wellhead Pumpers,Oil Field Pumper,
53-7073,Transportation and Material Moving Occupations,Material Moving Workers,Wellhead Pumpers,Oil Well Pumper,x
53-7073,Transportation and Material Moving Occupations,Material Moving Workers,Wellhead Pumpers,Oilfield Plant and Field Operator,
53-7081,Transportation and Material Moving Occupations,Material Moving Workers,Refuse and Recyclable Material Collectors,Garbage Collector,x
53-7081,Transportation and Material Moving Occupations,Material Moving Workers,Refuse and Recyclable Material Collectors,Recyclable Materials Collector,x
53-7081,Transportation and Material Moving Occupations,Material Moving Workers,Refuse and Recyclable Material Collectors,Refuse Collector,
53-7081,Transportation and Material Moving Occupations,Material Moving Workers,Refuse and Recyclable Material Collectors,Scrap Metal Collector,
53-7081,Transportation and Material Moving Occupations,Material Moving Workers,Refuse and Recyclable Material Collectors,Solid Waste Collector,
53-7081,Transportation and Material Moving Occupations,Material Moving Workers,Refuse and Recyclable Material Collectors,Trash Collector,x
53-7121,Transportation and Material Moving Occupations,Material Moving Workers,"Tank Car, Truck, and Ship Loaders",Barge Loader,x
53-7121,Transportation and Material Moving Occupations,Material Moving Workers,"Tank Car, Truck, and Ship Loaders",Bulk Tank Car Unloader,
53-7121,Transportation and Material Moving Occupations,Material Moving Workers,"Tank Car, Truck, and Ship Loaders",Dock Loader,
53-7121,Transportation and Material Moving Occupations,Material Moving Workers,"Tank Car, Truck, and Ship Loaders",Rail Car Loader,x
53-7121,Transportation and Material Moving Occupations,Material Moving Workers,"Tank Car, Truck, and Ship Loaders",Rail Loader,
53-7121,Transportation and Material Moving Occupations,Material Moving Workers,"Tank Car, Truck, and Ship Loaders",Ship Unloader,x
53-7121,Transportation and Material Moving Occupations,Material Moving Workers,"Tank Car, Truck, and Ship Loaders",Tank Car Loader,
53-7121,Transportation and Material Moving Occupations,Material Moving Workers,"Tank Car, Truck, and Ship Loaders",Tank Truck Loader,
53-7199,Transportation and Material Moving Occupations,Material Moving Workers,"Material Moving Workers, All Other",Back Hoe Operator,
53-7199,Transportation and Material Moving Occupations,Material Moving Workers,"Material Moving Workers, All Other",Backhoe Operator,
53-7199,Transportation and Material Moving Occupations,Material Moving Workers,"Material Moving Workers, All Other",Bulldozer Operator,x
